;/
;/#/wallboard
/#;/wallboard
;/%20/swagger-ui.html
/%20;/swagger-ui.html
;/Swagger/ui/index
/Swagger;/ui/index
/Swagger/ui;/index
;/acl/article?id=66
/acl;/article?id=66
;/acm
;/actuator
;/actuator/#/wallboard
/actuator;/#/wallboard
/actuator/#;/wallboard
;/actuator/acm
/actuator;/acm
;/actuator/admin/swagger-ui.html
/actuator;/admin/swagger-ui.html
/actuator/admin;/swagger-ui.html
;/actuator/api-docs
/actuator;/api-docs
;/actuator/api.html
/actuator;/api.html
;/actuator/api/index.html
/actuator;/api/index.html
/actuator/api;/index.html
;/actuator/api/swagger-ui.html
/actuator;/api/swagger-ui.html
/actuator/api;/swagger-ui.html
;/actuator/api/v2/api-docs
/actuator;/api/v2/api-docs
/actuator/api;/v2/api-docs
/actuator/api/v2;/api-docs
;/actuator/api/v2/swagger.json
/actuator;/api/v2/swagger.json
/actuator/api;/v2/swagger.json
/actuator/api/v2;/swagger.json
;/actuator/archaius
/actuator;/archaius
;/actuator/archaius/actuator/nacosdiscovery
/actuator;/archaius/actuator/nacosdiscovery
/actuator/archaius;/actuator/nacosdiscovery
/actuator/archaius/actuator;/nacosdiscovery
;/actuator/article?id=${7*7}
/actuator;/article?id=${7*7}
;/actuator/article?id=66
/actuator;/article?id=66
;/actuator/auditevents
/actuator;/auditevents
;/actuator/auditevents/actuator/intergrationgraph
/actuator;/auditevents/actuator/intergrationgraph
/actuator/auditevents;/actuator/intergrationgraph
/actuator/auditevents/actuator;/intergrationgraph
;/actuator/autoconfig
/actuator;/autoconfig
;/actuator/beans
/actuator;/beans
;/actuator/beans/actuator/jolokia
/actuator;/beans/actuator/jolokia
/actuator/beans;/actuator/jolokia
/actuator/beans/actuator;/jolokia
;/actuator/beans1
/actuator;/beans1
;/actuator/caches
/actuator;/caches
;/actuator/caches/actuator/refresh
/actuator;/caches/actuator/refresh
/actuator/caches;/actuator/refresh
/actuator/caches/actuator;/refresh
;/actuator/caches/cache
/actuator;/caches/cache
/actuator/caches;/cache
;/actuator/channels
/actuator;/channels
;/actuator/conditions
/actuator;/conditions
;/actuator/conditions/actuator/jolokia/list
/actuator;/conditions/actuator/jolokia/list
/actuator/conditions;/actuator/jolokia/list
/actuator/conditions/actuator;/jolokia/list
/actuator/conditions/actuator/jolokia;/list
;/actuator/conditions1
/actuator;/conditions1
;/actuator/configprops
/actuator;/configprops
;/actuator/configprops/actuator/nacos
/actuator;/configprops/actuator/nacos
/actuator/configprops;/actuator/nacos
/actuator/configprops/actuator;/nacos
;/actuator/distv2/index.html
/actuator;/distv2/index.html
/actuator/distv2;/index.html
;/actuator/docs
/actuator;/docs
;/actuator/druid/login.html
/actuator;/druid/login.html
/actuator/druid;/login.html
;/actuator/dubbo-provider/distv2/index.html
/actuator;/dubbo-provider/distv2/index.html
/actuator/dubbo-provider;/distv2/index.html
/actuator/dubbo-provider/distv2;/index.html
;/actuator/dump
/actuator;/dump
;/actuator/env
/actuator;/env
;/actuator/env/actuator/liquibase
/actuator;/env/actuator/liquibase
/actuator/env;/actuator/liquibase
/actuator/env/actuator;/liquibase
;/actuator/env/java.home
/actuator;/env/java.home
/actuator/env;/java.home
;/actuator/env/spring.jmx.enabled
/actuator;/env/spring.jmx.enabled
/actuator/env;/spring.jmx.enabled
;/actuator/env/system
/actuator;/env/system
/actuator/env;/system
;/actuator/features
/actuator;/features
;/actuator/features/actuator/peripheral/swagger-ui.html
/actuator;/features/actuator/peripheral/swagger-ui.html
/actuator/features;/actuator/peripheral/swagger-ui.html
/actuator/features/actuator;/peripheral/swagger-ui.html
/actuator/features/actuator/peripheral;/swagger-ui.html
;/actuator/flyway
/actuator;/flyway
;/actuator/gateway
/actuator;/gateway
;/actuator/h2-console
/actuator;/h2-console
;/actuator/health
/actuator;/health
;/actuator/health/
/actuator;/health/
/actuator/health;/
;/actuator/health/actuator/loggers
/actuator;/health/actuator/loggers
/actuator/health;/actuator/loggers
/actuator/health/actuator;/loggers
;/actuator/health/nacos
/actuator;/health/nacos
/actuator/health;/nacos
;/actuator/heapdump
/actuator;/heapdump
;/actuator/heapdump/actuator/loggers/nacos
/actuator;/heapdump/actuator/loggers/nacos
/actuator/heapdump;/actuator/loggers/nacos
/actuator/heapdump/actuator;/loggers/nacos
/actuator/heapdump/actuator/loggers;/nacos
;/actuator/httptrace
/actuator;/httptrace
;/actuator/httptrace/actuator/mappings
/actuator;/httptrace/actuator/mappings
/actuator/httptrace;/actuator/mappings
/actuator/httptrace/actuator;/mappings
;/actuator/hystrix.stream
/actuator;/hystrix.stream
;/actuator/hystrix.stream/*/actuator/swagger
/actuator;/hystrix.stream/*/actuator/swagger
/actuator/hystrix.stream;/*/actuator/swagger
/actuator/hystrix.stream/*;/actuator/swagger
/actuator/hystrix.stream/*/actuator;/swagger
;/actuator/info
/actuator;/info
;/actuator/info/actuator/metrics
/actuator;/info/actuator/metrics
/actuator/info;/actuator/metrics
/actuator/info/actuator;/metrics
;/actuator/jolokia
/actuator;/jolokia
;/actuator/jolokia/*/actuator/static/swagger.json
/actuator;/jolokia/*/actuator/static/swagger.json
/actuator/jolokia;/*/actuator/static/swagger.json
/actuator/jolokia/*;/actuator/static/swagger.json
/actuator/jolokia/*/actuator;/static/swagger.json
/actuator/jolokia/*/actuator/static;/swagger.json
;/actuator/logfile
/actuator;/logfile
;/actuator/logfile/actuator/sw/swagger-ui.html
/actuator;/logfile/actuator/sw/swagger-ui.html
/actuator/logfile;/actuator/sw/swagger-ui.html
/actuator/logfile/actuator;/sw/swagger-ui.html
/actuator/logfile/actuator/sw;/swagger-ui.html
;/actuator/loggers
/actuator;/loggers
;/actuator/loggers/
/actuator;/loggers/
/actuator/loggers;/
;/actuator/loggers/actuator/metrics/nacos
/actuator;/loggers/actuator/metrics/nacos
/actuator/loggers;/actuator/metrics/nacos
/actuator/loggers/actuator;/metrics/nacos
/actuator/loggers/actuator/metrics;/nacos
;/actuator/management/heapdump
/actuator;/management/heapdump
/actuator/management;/heapdump
;/actuator/mappings
/actuator;/mappings
;/actuator/mappings/actuator/monitor/conditions
/actuator;/mappings/actuator/monitor/conditions
/actuator/mappings;/actuator/monitor/conditions
/actuator/mappings/actuator;/monitor/conditions
/actuator/mappings/actuator/monitor;/conditions
;/actuator/metrics
/actuator;/metrics
;/actuator/metrics/
/actuator;/metrics/
/actuator/metrics;/
;/actuator/metrics/actuator/monitor/env
/actuator;/metrics/actuator/monitor/env
/actuator/metrics;/actuator/monitor/env
/actuator/metrics/actuator;/monitor/env
/actuator/metrics/actuator/monitor;/env
;/actuator/monitor/auditevents
/actuator;/monitor/auditevents
/actuator/monitor;/auditevents
;/actuator/monitor/loggers
/actuator;/monitor/loggers
/actuator/monitor;/loggers
;/actuator/nacos-config/actuator/swagger-resourcesce
/actuator;/nacos-config/actuator/swagger-resourcesce
/actuator/nacos-config;/actuator/swagger-resourcesce
/actuator/nacos-config/actuator;/swagger-resourcesce
;/actuator/nacos-discovery/actuator/swagger-ui
/actuator;/nacos-discovery/actuator/swagger-ui
/actuator/nacos-discovery;/actuator/swagger-ui
/actuator/nacos-discovery/actuator;/swagger-ui
;/actuator/nacosconfig
/actuator;/nacosconfig
;/actuator/prometheus
/actuator;/prometheus
;/actuator/prometheus/actuator/swagger-dubbo/api-docs
/actuator;/prometheus/actuator/swagger-dubbo/api-docs
/actuator/prometheus;/actuator/swagger-dubbo/api-docs
/actuator/prometheus/actuator;/swagger-dubbo/api-docs
/actuator/prometheus/actuator/swagger-dubbo;/api-docs
;/actuator/refresh/actuator/peripheral/v2/api-docs
/actuator;/refresh/actuator/peripheral/v2/api-docs
/actuator/refresh;/actuator/peripheral/v2/api-docs
/actuator/refresh/actuator;/peripheral/v2/api-docs
/actuator/refresh/actuator/peripheral;/v2/api-docs
/actuator/refresh/actuator/peripheral/v2;/api-docs
;/actuator/restart
/actuator;/restart
;/actuator/scheduledtasks
/actuator;/scheduledtasks
;/actuator/scheduledtasks/actuator/monitor/mappings
/actuator;/scheduledtasks/actuator/monitor/mappings
/actuator/scheduledtasks;/actuator/monitor/mappings
/actuator/scheduledtasks/actuator;/monitor/mappings
/actuator/scheduledtasks/actuator/monitor;/mappings
;/actuator/sentinel
/actuator;/sentinel
;/actuator/service-registry/actuator/prometheus
/actuator;/service-registry/actuator/prometheus
/actuator/service-registry;/actuator/prometheus
/actuator/service-registry/actuator;/prometheus
;/actuator/sessions/
/actuator;/sessions/
/actuator/sessions;/
;/actuator/sessions/actuator/swagger-ui.html
/actuator;/sessions/actuator/swagger-ui.html
/actuator/sessions;/actuator/swagger-ui.html
/actuator/sessions/actuator;/swagger-ui.html
;/actuator/swagger-ui/index.html
/actuator;/swagger-ui/index.html
/actuator/swagger-ui;/index.html
;/actuator/template/swagger-ui.html
/actuator;/template/swagger-ui.html
/actuator/template;/swagger-ui.html
;/actuator/threaddump
/actuator;/threaddump
;/actuator/threaddump/actuator/monitor/scheduledtasks
/actuator;/threaddump/actuator/monitor/scheduledtasks
/actuator/threaddump;/actuator/monitor/scheduledtasks
/actuator/threaddump/actuator;/monitor/scheduledtasks
/actuator/threaddump/actuator/monitor;/scheduledtasks
;/actuator/trace
/actuator;/trace
;/actuator/user/swagger-ui.html
/actuator;/user/swagger-ui.html
/actuator/user;/swagger-ui.html
;/api-docs
;/api.html
;/api/swagger-ui.html
/api;/swagger-ui.html
;/api/v2/login
/api;/v2/login
/api/v2;/login
;/api/v2/swagger-resources
/api;/v2/swagger-resources
/api/v2;/swagger-resources
;/api/v2/swagger-ui.html
/api;/v2/swagger-ui.html
/api/v2;/swagger-ui.html
;/article?id=${7*7}
;/auditevents
;/autoconfig
;/beans
;/beans1
;/caches
;/channels
;/clients
;/clients/actuator/system/showOsInfo
/clients;/actuator/system/showOsInfo
/clients/actuator;/system/showOsInfo
/clients/actuator/system;/showOsInfo
;/clients/all/actuator/tra
/clients;/all/actuator/tra
/clients/all;/actuator/tra
/clients/all/actuator;/tra
;/clients/saveOrUpdate/actuator/trace
/clients;/saveOrUpdate/actuator/trace
/clients/saveOrUpdate;/actuator/trace
/clients/saveOrUpdate/actuator;/trace
;/cloudfoundryapplication
;/conditions
;/conditions1
;/configprops
;/distv2/index.html
/distv2;/index.html
;/doc.html
;/docs
;/docs/
/docs;/
;/druid/*/actuator/swagger/codes
/druid;/*/actuator/swagger/codes
/druid/*;/actuator/swagger/codes
/druid/*/actuator;/swagger/codes
/druid/*/actuator/swagger;/codes
;/druid/api.html
/druid;/api.html
;/druid/basic.json
/druid;/basic.json
;/druid/datasource.html
/druid;/datasource.html
;/druid/index.html
/druid;/index.html
;/druid/login.html
/druid;/login.html
;/druid/spring.html
/druid;/spring.html
;/druid/sql.html
/druid;/sql.html
;/druid/wall.html
/druid;/wall.html
;/druid/webapp.html
/druid;/webapp.html
;/druid/websession.html
/druid;/websession.html
;/druid/weburi.html
/druid;/weburi.html
;/dubbo-provider/distv2/index.html
/dubbo-provider;/distv2/index.html
/dubbo-provider/distv2;/index.html
;/dump
;/entity/all
/entity;/all
;/env
;/env/java.home
/env;/java.home
;/env/nacos
/env;/nacos
;/env/spring
/env;/spring
;/env/spring.jmx.enabled
/env;/spring.jmx.enabled
;/error/actuator/monitor/threaddump
/error;/actuator/monitor/threaddump
/error/actuator;/monitor/threaddump
/error/actuator/monitor;/threaddump
;/eureka
;/eureka/*/actuator/service-registry
/eureka;/*/actuator/service-registry
/eureka/*;/actuator/service-registry
/eureka/*/actuator;/service-registry
;/features
;/flyway
;/gateway/actuator
/gateway;/actuator
;/gateway/actuator/auditevents
/gateway;/actuator/auditevents
/gateway/actuator;/auditevents
;/gateway/actuator/beans
/gateway;/actuator/beans
/gateway/actuator;/beans
;/gateway/actuator/conditions
/gateway;/actuator/conditions
/gateway/actuator;/conditions
;/gateway/actuator/configprops
/gateway;/actuator/configprops
/gateway/actuator;/configprops
;/gateway/actuator/env
/gateway;/actuator/env
/gateway/actuator;/env
;/gateway/actuator/health
/gateway;/actuator/health
/gateway/actuator;/health
;/gateway/actuator/heapdump
/gateway;/actuator/heapdump
/gateway/actuator;/heapdump
;/gateway/actuator/httptrace
/gateway;/actuator/httptrace
/gateway/actuator;/httptrace
;/gateway/actuator/hystrix.stream
/gateway;/actuator/hystrix.stream
/gateway/actuator;/hystrix.stream
;/gateway/actuator/info
/gateway;/actuator/info
/gateway/actuator;/info
;/gateway/actuator/jolokia
/gateway;/actuator/jolokia
/gateway/actuator;/jolokia
;/gateway/actuator/logfile
/gateway;/actuator/logfile
/gateway/actuator;/logfile
;/gateway/actuator/loggers
/gateway;/actuator/loggers
/gateway/actuator;/loggers
;/gateway/actuator/mappings
/gateway;/actuator/mappings
/gateway/actuator;/mappings
;/gateway/actuator/metrics
/gateway;/actuator/metrics
/gateway/actuator;/metrics
;/gateway/actuator/scheduledtasks
/gateway;/actuator/scheduledtasks
/gateway/actuator;/scheduledtasks
;/gateway/actuator/swagger-ui.html
